"","Treatment","Vehicle","Compound","Class"
"5500024032848101507997.H05.CEL","Compound","MCF7_6","Training_54","0"
"5500024051859013109328.F04.CEL","Compound","MCF7_32","Training_55","1"
"5500024030402071707277.G11.CEL","Compound","MCF7_7","Training_56","1"
"5500024037498121108437.B04.CEL","Compound","MCF7_33","Training_57","1"
"5500024024211121606513.F01.CEL","Compound","MCF7_29","Training_58","0"
"5500024034290101707050.C02.CEL","Compound","MCF7_34","Training_59","0"
"5500024030402071707279.D08.CEL","Compound","MCF7_24","Training_60","0"
"5500024028416032807794.B12.CEL","Compound","MCF7_27","Training_62","1"
"5500024031723100807770.B08.CEL","Compound","MCF7_35","Training_63","1"
"5500024031723100807770.H10.CEL","Compound","MCF7_35","Training_64","0"
"5500024037289120508304.H11.CEL","Compound","MCF7_31","Training_65","1"
"5500024030403071907255.A10.CEL","Compound","MCF7_11","Training_66","1"
"5500024030403071907251.G12.CEL","Compound","MCF7_36","Training_67","1"
"5500024030700072107994.F05.CEL","Compound","MCF7_13","Training_68","1"
"5500024032848101507997.H10.CEL","Compound","MCF7_30","Training_69","0"
"5500024028849050407169.F06.CEL","Compound","MCF7_15","Training_70","1"
"5500024024213121906558.A03.CEL","Compound","MCF7_37","Training_71","0"
"5500024030402071707279.B08.CEL","Compound","MCF7_24","Training_72","1"
"5500024030760072207031.E07.CEL","Compound","MCF7_18","Training_73","1"
"5500024030403071907252.A05.CEL","Compound","MCF7_9","Training_74","0"
"5500024028849050407169.C09.CEL","Compound","MCF7_38","Training_75","1"
"5500024024214122006606.C07.CEL","Compound","MCF7_39","Training_76","1"
"5500024037289120508304.E07.CEL","Compound","MCF7_31","Training_77","1"
"5500024030700072107994.H02.CEL","Compound","MCF7_13","Training_78","1"
"5500024030403071907255.H11.CEL","Compound","MCF7_11","Training_79","1"
"5500024031723100807772.H03.CEL","Compound","MCF7_40","Training_80","1"
"5500024024211121606513.B09.CEL","Compound","MCF7_10","Training_81","1"
"5500024030403071907255.D05.CEL","Compound","MCF7_1","Training_82","1"
"5500024030402071707279.H03.CEL","Compound","MCF7_3","Training_83","0"
"5500024035735011708571.A11.CEL","Compound","MCF7_41","Training_84","1"
"5500024024213121906562.E07.CEL","Compound","MCF7_8","Training_86","1"
"5500024024214122006606.A08.CEL","Compound","MCF7_39","Training_87","1"
"5500024053146032309538.F02.CEL","Compound","MCF7_43","Training_88","1"
"5500024037498121108437.A01.CEL","Compound","MCF7_33","Training_89","1"
"5500024051859013109328.B06.CEL","Compound","MCF7_32","Training_90","1"
"5500024024211121606513.D02.CEL","Compound","MCF7_29","Training_91","0"
"5500024030700072107994.D09.CEL","Compound","MCF7_44","Training_92","0"
"5500024030403071907251.D11.CEL","Compound","MCF7_36","Training_93","1"
"5500024030700072107994.H06.CEL","Compound","MCF7_13","Training_94","1"
"5500024035735011708567.C02.CEL","Compound","MCF7_45","Training_95","1"
"5500024031330081907228.F12.CEL","Compound","MCF7_23","Training_96","1"
"5500024031723100807770.B12.CEL","Compound","MCF7_35","Training_97","0"
"5500024038291011509600.A06.CEL","Compound","MCF7_46","Training_98","1"
"5500024024211121606513.C09.CEL","Compound","MCF7_10","Training_99","0"
"5500024024213121906558.G05.CEL","Compound","MCF7_37","Training_100","1"
"5500024037289120508304.D09.CEL","Compound","MCF7_31","Training_101","0"
"5500024024214122006606.H03.CEL","Compound","MCF7_21","Training_102","1"
"5500024030403071907257.B03.CEL","Compound","MCF7_4","Training_103","1"
"5500024028849050407172.E12.CEL","Compound","MCF7_47","Training_105","1"
"5500024028849050407169.C11.CEL","Compound","MCF7_38","Training_106","1"
"5500024030403071907255.E12.CEL","Compound","MCF7_11","Training_107","1"
"5500024030403071907253.B08.CEL","Compound","MCF7_2","Training_108","1"
"5500024030403071907251.D09.CEL","Compound","MCF7_36","Training_109","1"
"5500024035736031208618.A11.CEL","Compound","MCF7_16","Training_110","1"
"5500024030403071907257.A04.CEL","Compound","MCF7_4","Training_111","1"
"5500024034290101707050.H06.CEL","Compound","MCF7_34","Training_112","0"
"5500024030760072207031.B04.CEL","Compound","MCF7_48","Training_113","1"
"5500024024214122006606.A05.CEL","Compound","MCF7_21","Training_114","0"
"5500024034290101707045.B03.CEL","Compound","MCF7_19","Training_115","1"
"5500024031330081907228.B02.CEL","Compound","MCF7_49","Training_116","0"
"5500024037289120508304.F10.CEL","Compound","MCF7_31","Training_117","1"
"5500024024214122006606.E01.CEL","Compound","MCF7_21","Training_118","0"
"5500024024211121606513.H09.CEL","Compound","MCF7_10","Training_119","0"
"5500024032848101507997.A07.CEL","Compound","MCF7_30","Training_120","1"
"5500024024214122006606.E06.CEL","Compound","MCF7_21","Training_121","0"
"5500024030760072207031.H10.CEL","Compound","MCF7_18","Training_122","1"
"5500024024213121906562.D09.CEL","Compound","MCF7_8","Training_123","1"
"5500024024214122006606.D11.CEL","Compound","MCF7_39","Training_124","1"
"5500024037498121108437.F12.CEL","Compound","MCF7_50","Training_125","1"
"5500024031330081907228.A04.CEL","Compound","MCF7_49","Training_126","0"
"5500024031330081907228.D09.CEL","Compound","MCF7_23","Training_127","0"
"5500024030760072207031.G10.CEL","Compound","MCF7_18","Training_128","1"
"5500024035101021908499.G01.CEL","Compound","MCF7_14","Training_129","0"
"5500024030402071707279.A02.CEL","Compound","MCF7_3","Training_130","1"
"5500024035735011708571.H12.CEL","Compound","MCF7_41","Training_131","1"
"5500024031723100807770.B10.CEL","Compound","MCF7_35","Training_132","0"
"5500024031723100807770.F08.CEL","Compound","MCF7_35","Training_133","1"
"5500024034290101707050.B04.CEL","Compound","MCF7_34","Training_134","1"
"5500024031723100807770.F06.CEL","Compound","MCF7_51","Training_135","1"
"5500024030403071907253.G11.CEL","Compound","MCF7_2","Training_136","0"
"5500024024213121906558.B02.CEL","Compound","MCF7_37","Training_137","0"
"5500024030403071907252.C01.CEL","Compound","MCF7_9","Training_138","0"
"5500024035101021908499.E01.CEL","Compound","MCF7_14","Training_139","0"
"5500024024214122006606.C04.CEL","Compound","MCF7_21","Training_140","0"
"5500024035100021608459.C04.CEL","Compound","MCF7_52","Training_141","1"
"5500024024214122006606.H09.CEL","Compound","MCF7_39","Training_142","1"
"5500024034290101707045.D08.CEL","Compound","MCF7_53","Training_143","1"
"5500024030402071707279.A05.CEL","Compound","MCF7_3","Training_145","0"
"5500024034290101707050.H02.CEL","Compound","MCF7_34","Training_146","1"
"5500024024213121906562.F03.CEL","Compound","MCF7_22","Training_147","1"
"5500024030403071907255.H12.CEL","Compound","MCF7_11","Training_148","1"
"5500024032848101507997.F09.CEL","Compound","MCF7_30","Training_149","1"
"5500024030402071707279.D05.CEL","Compound","MCF7_3","Training_150","1"
"5500024030403071907257.F11.CEL","Compound","MCF7_20","Training_151","1"
"5500024032848101507997.F11.CEL","Compound","MCF7_30","Training_152","0"
"5500024024214122006606.G12.CEL","Compound","MCF7_39","Training_153","0"
"5500024031330081907228.F02.CEL","Compound","MCF7_49","Training_154","1"
"5500024035735011708571.C10.CEL","Compound","MCF7_41","Training_155","1"
"5500024028849050407172.F11.CEL","Compound","MCF7_47","Training_156","1"
"5500024030403071907256.E06.CEL","Compound","MCF7_54","Training_157","0"
"5500024031723100807772.H05.CEL","Compound","MCF7_40","Training_158","1"
"5500024024213121906562.C05.CEL","Compound","MCF7_22","Training_159","1"
"5500024024213121906558.F05.CEL","Compound","MCF7_37","Training_160","0"
"5500024035735011708571.G07.CEL","Compound","MCF7_41","Training_161","1"
"5500024031330081907228.B06.CEL","Compound","MCF7_49","Training_162","0"
"5500024030403071907257.H11.CEL","Compound","MCF7_20","Training_163","0"
"5500024030403071907253.E04.CEL","Compound","MCF7_55","Training_164","1"
"5500024024214122006606.E02.CEL","Compound","MCF7_21","Training_165","1"
"5500024030700072107994.B03.CEL","Compound","MCF7_13","Training_166","0"
"5500024035736031208618.B09.CEL","Compound","MCF7_16","Training_167","1"
"5500024024213121906562.D11.CEL","Compound","MCF7_8","Training_168","1"
"5500024024214122006606.H05.CEL","Compound","MCF7_21","Training_169","1"
"5500024035736031208618.C08.CEL","Compound","MCF7_16","Training_170","0"
"5500024035735011708571.A05.CEL","Compound","MCF7_56","Training_171","1"
"5500024030403071907253.B07.CEL","Compound","MCF7_2","Training_172","1"
"5500024035735011708571.B03.CEL","Compound","MCF7_56","Training_173","1"
"5500024024214122006606.G10.CEL","Compound","MCF7_39","Training_174","1"
"5500024030403071907256.H05.CEL","Compound","MCF7_54","Training_175","0"
"5500024024213121906562.C02.CEL","Compound","MCF7_22","Training_176","1"
"5500024030403071907257.F09.CEL","Compound","MCF7_20","Training_177","1"
"5500024031723100807770.C02.CEL","Compound","MCF7_51","Training_178","1"
"5500024030700072107988.E06.CEL","Compound","MCF7_57","Training_179","1"
"5500024030403071907257.C07.CEL","Compound","MCF7_20","Training_180","1"
"5500024024214122006606.A03.CEL","Compound","MCF7_21","Training_181","0"
"5500024024214122006606.F10.CEL","Compound","MCF7_39","Training_182","1"
"5500024024213121906562.C09.CEL","Compound","MCF7_8","Training_183","1"
"5500024030403071907257.B01.CEL","Compound","MCF7_4","Training_184","0"
"5500024051859013109328.G01.CEL","Compound","MCF7_32","Training_185","0"
"5500024035736031208617.E03.CEL","Compound","MCF7_58","Training_186","1"
"5500024031723100807770.A08.CEL","Compound","MCF7_35","Training_187","1"
"5500024030403071907253.E02.CEL","Compound","MCF7_55","Training_189","0"
"5500024030402071707279.G12.CEL","Compound","MCF7_24","Training_190","1"
"5500024024214122006606.C11.CEL","Compound","MCF7_39","Validation_1",""
"5500024024213121906562.E08.CEL","Compound","MCF7_8","Validation_2",""
"5500024030700072107994.H08.CEL","Compound","MCF7_44","Validation_3",""
"5500024032848101507997.D06.CEL","Compound","MCF7_6","Validation_4",""
"5500024028849050407169.F03.CEL","Compound","MCF7_15","Validation_5",""
"5500024028849050407172.B04.CEL","Compound","MCF7_59","Validation_6",""
"5500024030402071707277.C05.CEL","Compound","MCF7_60","Validation_7",""
"5500024031723100807770.D12.CEL","Compound","MCF7_35","Validation_8",""
"5500024030403071907255.G06.CEL","Compound","MCF7_1","Validation_9",""
"5500024030402071707277.E04.CEL","Compound","MCF7_60","Validation_10",""
"5500024028849050407172.A08.CEL","Compound","MCF7_47","Validation_11",""
"5500024032848101507997.A05.CEL","Compound","MCF7_6","Validation_12",""
"5500024024214122006606.C01.CEL","Compound","MCF7_21","Validation_13",""
"5500024034290101707045.F02.CEL","Compound","MCF7_19","Validation_14",""
"5500024030700072107988.G03.CEL","Compound","MCF7_57","Validation_15",""
"5500024030760072207031.D11.CEL","Compound","MCF7_18","Validation_16",""
"5500024030700072107994.B09.CEL","Compound","MCF7_44","Validation_17",""
"5500024032848101507997.G05.CEL","Compound","MCF7_6","Validation_18",""
"5500024024214122006606.F09.CEL","Compound","MCF7_39","Validation_19",""
"5500024030402071707279.E02.CEL","Compound","MCF7_3","Validation_20",""
"5500024024214122006606.A09.CEL","Compound","MCF7_39","Validation_21",""
"5500024030402071707277.F01.CEL","Compound","MCF7_60","Validation_22",""
"5500024024213121906558.A04.CEL","Compound","MCF7_37","Validation_23",""
"5500024024213121906562.B12.CEL","Compound","MCF7_8","Validation_24",""
"5500024028849050407169.F05.CEL","Compound","MCF7_15","Validation_25",""
"5500024024214122006606.G03.CEL","Compound","MCF7_21","Validation_26",""
"5500024051859013109328.C01.CEL","Compound","MCF7_32","Validation_27",""
"5500024024211121606513.E04.CEL","Compound","MCF7_29","Validation_28",""
"5500024030403071907255.D11.CEL","Compound","MCF7_11","Validation_29",""
"5500024030402071707279.F03.CEL","Compound","MCF7_3","Validation_30",""
"5500024030403071907251.A09.CEL","Compound","MCF7_36","Validation_31",""
"5500024030402071707279.G05.CEL","Compound","MCF7_3","Validation_32",""
"5500024030403071907255.C02.CEL","Compound","MCF7_1","Validation_33",""
"5500024031723100807770.C03.CEL","Compound","MCF7_51","Validation_34",""
"5500024030700072107994.G05.CEL","Compound","MCF7_13","Validation_35",""
"5500024030403071907251.E11.CEL","Compound","MCF7_36","Validation_36",""
"5500024030403071907255.E11.CEL","Compound","MCF7_11","Validation_37",""
"5500024030402071707279.H10.CEL","Compound","MCF7_24","Validation_38",""
"5500024032848101507997.D11.CEL","Compound","MCF7_30","Validation_39",""
"5500024024214122006606.H06.CEL","Compound","MCF7_21","Validation_40",""
"5500024028416032807794.D08.CEL","Compound","MCF7_27","Validation_41",""
"5500024037496121008324.G07.CEL","Compound","MCF7_5","Validation_42",""
"5500024037498121108437.A07.CEL","Compound","MCF7_50","Validation_43",""
"5500024031723100807772.H11.CEL","Compound","MCF7_61","Validation_44",""
"5500024030403071907255.H03.CEL","Compound","MCF7_1","Validation_45",""
"5500024028849050407172.C05.CEL","Compound","MCF7_59","Validation_46",""
"5500024030403071907255.B01.CEL","Compound","MCF7_1","Validation_47",""
"5500024024213121906562.C11.CEL","Compound","MCF7_8","Validation_48",""
"5500024028849050407172.A11.CEL","Compound","MCF7_47","Validation_49",""
"5500024024213121906562.D12.CEL","Compound","MCF7_8","Validation_50",""
"5500024032848101507997.B06.CEL","Compound","MCF7_6","Validation_51",""
"5500024035101021908499.D01.CEL","Compound","MCF7_14","Validation_52",""
"5500024030700072107994.D03.CEL","Compound","MCF7_13","Validation_53",""
"5500024030402071707279.C12.CEL","Compound","MCF7_24","Validation_54",""
"5500024030403071907257.H02.CEL","Compound","MCF7_4","Validation_55",""
"5500024037496121008324.A03.CEL","Compound","MCF7_62","Validation_56",""
"5500024031723100807772.F02.CEL","Compound","MCF7_40","Validation_57",""
"5500024032848101507997.D03.CEL","Compound","MCF7_6","Validation_58",""
"5500024035735011708567.H04.CEL","Compound","MCF7_45","Validation_59",""
"5500024051859013109328.E06.CEL","Compound","MCF7_32","Validation_60",""
"5500024031723100807772.F01.CEL","Compound","MCF7_40","Validation_61",""
"5500024030403071907255.G01.CEL","Compound","MCF7_1","Validation_62",""
"5500024035735011708571.B07.CEL","Compound","MCF7_41","Validation_63",""
"5500024035736031208617.F05.CEL","Compound","MCF7_63","Validation_64",""
"5500024024213121906558.C01.CEL","Compound","MCF7_37","Validation_65",""
"5500024030760072207031.B10.CEL","Compound","MCF7_18","Validation_66",""
"5500024030403071907253.D12.CEL","Compound","MCF7_2","Validation_67",""
"5500024034290101707045.A03.CEL","Compound","MCF7_19","Validation_68",""
"5500024030402071707277.A02.CEL","Compound","MCF7_60","Validation_69",""
"5500024030403071907256.G05.CEL","Compound","MCF7_54","Validation_70",""
"5500024030402071707279.B04.CEL","Compound","MCF7_3","Validation_71",""
"5500024030403071907255.E01.CEL","Compound","MCF7_1","Validation_72",""
"5500024037498121108437.G05.CEL","Compound","MCF7_33","Validation_73",""
"5500024028849050407169.B12.CEL","Compound","MCF7_38","Validation_74",""
"5500024035101021908499.C04.CEL","Compound","MCF7_14","Validation_75",""
"5500024024214122006606.H08.CEL","Compound","MCF7_39","Validation_76",""
"5500024035101021908499.E08.CEL","Compound","MCF7_25","Validation_77",""
"5500024031723100807770.H06.CEL","Compound","MCF7_51","Validation_78",""
"5500024031330081907228.E11.CEL","Compound","MCF7_23","Validation_79",""
"5500024034290101707045.E11.CEL","Compound","MCF7_53","Validation_80",""
"5500024032848101507997.D09.CEL","Compound","MCF7_30","Validation_81",""
"5500024031330081907228.H02.CEL","Compound","MCF7_49","Validation_82",""
"5500024031723100807772.F06.CEL","Compound","MCF7_40","Validation_83",""
"5500024024213121906562.C04.CEL","Compound","MCF7_22","Validation_84",""
"5500024024213121906562.G03.CEL","Compound","MCF7_22","Validation_85",""
"5500024053146032309538.H03.CEL","Compound","MCF7_64","Validation_86",""
"5500024030403071907255.A06.CEL","Vehicle","MCF7_1","",""
"5500024030403071907255.B05.CEL","Vehicle","MCF7_1","",""
"5500024030403071907255.D04.CEL","Vehicle","MCF7_1","",""
"5500024030403071907255.E03.CEL","Vehicle","MCF7_1","",""
"5500024030403071907255.H01.CEL","Vehicle","MCF7_1","",""
"5500024030403071907253.A12.CEL","Vehicle","MCF7_2","",""
"5500024030403071907253.B11.CEL","Vehicle","MCF7_2","",""
"5500024030403071907253.D10.CEL","Vehicle","MCF7_2","",""
"5500024030403071907253.E09.CEL","Vehicle","MCF7_2","",""
"5500024030403071907253.G08.CEL","Vehicle","MCF7_2","",""
"5500024030403071907253.H07.CEL","Vehicle","MCF7_2","",""
"5500024030402071707279.A06.CEL","Vehicle","MCF7_3","",""
"5500024030402071707279.B05.CEL","Vehicle","MCF7_3","",""
"5500024030402071707279.D04.CEL","Vehicle","MCF7_3","",""
"5500024030402071707279.E03.CEL","Vehicle","MCF7_3","",""
"5500024030402071707279.G02.CEL","Vehicle","MCF7_3","",""
"5500024030402071707279.H01.CEL","Vehicle","MCF7_3","",""
"5500024030403071907257.A06.CEL","Vehicle","MCF7_4","",""
"5500024030403071907257.B05.CEL","Vehicle","MCF7_4","",""
"5500024030403071907257.D04.CEL","Vehicle","MCF7_4","",""
"5500024030403071907257.E03.CEL","Vehicle","MCF7_4","",""
"5500024030403071907257.G02.CEL","Vehicle","MCF7_4","",""
"5500024037496121008324.A12.CEL","Vehicle","MCF7_5","",""
"5500024037496121008324.B11.CEL","Vehicle","MCF7_5","",""
"5500024037496121008324.D10.CEL","Vehicle","MCF7_5","",""
"5500024037496121008324.E09.CEL","Vehicle","MCF7_5","",""
"5500024037496121008324.G08.CEL","Vehicle","MCF7_5","",""
"5500024037496121008324.H07.CEL","Vehicle","MCF7_5","",""
"5500024032848101507997.A06.CEL","Vehicle","MCF7_6","",""
"5500024032848101507997.B05.CEL","Vehicle","MCF7_6","",""
"5500024032848101507997.D04.CEL","Vehicle","MCF7_6","",""
"5500024032848101507997.E03.CEL","Vehicle","MCF7_6","",""
"5500024032848101507997.H01.CEL","Vehicle","MCF7_6","",""
"5500024030402071707277.A12.CEL","Vehicle","MCF7_7","",""
"5500024030402071707277.B11.CEL","Vehicle","MCF7_7","",""
"5500024030402071707277.D10.CEL","Vehicle","MCF7_7","",""
"5500024030402071707277.E09.CEL","Vehicle","MCF7_7","",""
"5500024030402071707277.G08.CEL","Vehicle","MCF7_7","",""
"5500024030402071707277.H07.CEL","Vehicle","MCF7_7","",""
"5500024024213121906562.A12.CEL","Vehicle","MCF7_8","",""
"5500024024213121906562.B11.CEL","Vehicle","MCF7_8","",""
"5500024024213121906562.D10.CEL","Vehicle","MCF7_8","",""
"5500024024213121906562.E09.CEL","Vehicle","MCF7_8","",""
"5500024024213121906562.G08.CEL","Vehicle","MCF7_8","",""
"5500024024213121906562.H07.CEL","Vehicle","MCF7_8","",""
"5500024030403071907252.A06.CEL","Vehicle","MCF7_9","",""
"5500024030403071907252.B05.CEL","Vehicle","MCF7_9","",""
"5500024030403071907252.D04.CEL","Vehicle","MCF7_9","",""
"5500024030403071907252.E03.CEL","Vehicle","MCF7_9","",""
"5500024030403071907252.G02.CEL","Vehicle","MCF7_9","",""
"5500024030403071907252.H01.CEL","Vehicle","MCF7_9","",""
"5500024024211121606513.A12.CEL","Vehicle","MCF7_10","",""
"5500024024211121606513.B11.CEL","Vehicle","MCF7_10","",""
"5500024024211121606513.D10.CEL","Vehicle","MCF7_10","",""
"5500024024211121606513.E09.CEL","Vehicle","MCF7_10","",""
"5500024024211121606513.G08.CEL","Vehicle","MCF7_10","",""
"5500024024211121606513.H07.CEL","Vehicle","MCF7_10","",""
"5500024030403071907255.A12.CEL","Vehicle","MCF7_11","",""
"5500024030403071907255.B11.CEL","Vehicle","MCF7_11","",""
"5500024030403071907255.D10.CEL","Vehicle","MCF7_11","",""
"5500024030403071907255.E09.CEL","Vehicle","MCF7_11","",""
"5500024030403071907255.G08.CEL","Vehicle","MCF7_11","",""
"5500024030403071907255.H07.CEL","Vehicle","MCF7_11","",""
"5500024030700072107988.A12.CEL","Vehicle","MCF7_12","",""
"5500024030700072107988.B11.CEL","Vehicle","MCF7_12","",""
"5500024030700072107988.D10.CEL","Vehicle","MCF7_12","",""
"5500024030700072107988.E09.CEL","Vehicle","MCF7_12","",""
"5500024030700072107988.G08.CEL","Vehicle","MCF7_12","",""
"5500024030700072107988.H07.CEL","Vehicle","MCF7_12","",""
"5500024030700072107994.A06.CEL","Vehicle","MCF7_13","",""
"5500024030700072107994.B05.CEL","Vehicle","MCF7_13","",""
"5500024030700072107994.D04.CEL","Vehicle","MCF7_13","",""
"5500024030700072107994.E03.CEL","Vehicle","MCF7_13","",""
"5500024030700072107994.H01.CEL","Vehicle","MCF7_13","",""
"5500024035101021908499.A06.CEL","Vehicle","MCF7_14","",""
"5500024035101021908499.B05.CEL","Vehicle","MCF7_14","",""
"5500024035101021908499.D04.CEL","Vehicle","MCF7_14","",""
"5500024035101021908499.E03.CEL","Vehicle","MCF7_14","",""
"5500024035101021908499.H01.CEL","Vehicle","MCF7_14","",""
"5500024028849050407169.A06.CEL","Vehicle","MCF7_15","",""
"5500024028849050407169.B05.CEL","Vehicle","MCF7_15","",""
"5500024028849050407169.D04.CEL","Vehicle","MCF7_15","",""
"5500024028849050407169.E03.CEL","Vehicle","MCF7_15","",""
"5500024028849050407169.G02.CEL","Vehicle","MCF7_15","",""
"5500024028849050407169.H01.CEL","Vehicle","MCF7_15","",""
"5500024035736031208618.A12.CEL","Vehicle","MCF7_16","",""
"5500024035736031208618.B11.CEL","Vehicle","MCF7_16","",""
"5500024035736031208618.D10.CEL","Vehicle","MCF7_16","",""
"5500024035736031208618.E09.CEL","Vehicle","MCF7_16","",""
"5500024035736031208618.G08.CEL","Vehicle","MCF7_16","",""
"5500024035736031208618.H07.CEL","Vehicle","MCF7_16","",""
"5500024030760072207031.A12.CEL","Vehicle","MCF7_18","",""
"5500024030760072207031.B11.CEL","Vehicle","MCF7_18","",""
"5500024030760072207031.D10.CEL","Vehicle","MCF7_18","",""
"5500024030760072207031.E09.CEL","Vehicle","MCF7_18","",""
"5500024030760072207031.G08.CEL","Vehicle","MCF7_18","",""
"5500024030760072207031.H07.CEL","Vehicle","MCF7_18","",""
"5500024034290101707045.A06.CEL","Vehicle","MCF7_19","",""
"5500024034290101707045.B05.CEL","Vehicle","MCF7_19","",""
"5500024034290101707045.D04.CEL","Vehicle","MCF7_19","",""
"5500024034290101707045.E03.CEL","Vehicle","MCF7_19","",""
"5500024034290101707045.G02.CEL","Vehicle","MCF7_19","",""
"5500024034290101707045.H01.CEL","Vehicle","MCF7_19","",""
"5500024030403071907257.A12.CEL","Vehicle","MCF7_20","",""
"5500024030403071907257.B11.CEL","Vehicle","MCF7_20","",""
"5500024030403071907257.D10.CEL","Vehicle","MCF7_20","",""
"5500024030403071907257.E09.CEL","Vehicle","MCF7_20","",""
"5500024030403071907257.G08.CEL","Vehicle","MCF7_20","",""
"5500024030403071907257.H07.CEL","Vehicle","MCF7_20","",""
"5500024024214122006606.A06.CEL","Vehicle","MCF7_21","",""
"5500024024214122006606.B05.CEL","Vehicle","MCF7_21","",""
"5500024024214122006606.D04.CEL","Vehicle","MCF7_21","",""
"5500024024214122006606.E03.CEL","Vehicle","MCF7_21","",""
"5500024024214122006606.G02.CEL","Vehicle","MCF7_21","",""
"5500024024214122006606.H01.CEL","Vehicle","MCF7_21","",""
"5500024024213121906562.A06.CEL","Vehicle","MCF7_22","",""
"5500024024213121906562.B05.CEL","Vehicle","MCF7_22","",""
"5500024024213121906562.D04.CEL","Vehicle","MCF7_22","",""
"5500024024213121906562.E03.CEL","Vehicle","MCF7_22","",""
"5500024024213121906562.G02.CEL","Vehicle","MCF7_22","",""
"5500024024213121906562.H01.CEL","Vehicle","MCF7_22","",""
"5500024031330081907228.A12.CEL","Vehicle","MCF7_23","",""
"5500024031330081907228.B11.CEL","Vehicle","MCF7_23","",""
"5500024031330081907228.D10.CEL","Vehicle","MCF7_23","",""
"5500024031330081907228.E09.CEL","Vehicle","MCF7_23","",""
"5500024031330081907228.G08.CEL","Vehicle","MCF7_23","",""
"5500024031330081907228.H07.CEL","Vehicle","MCF7_23","",""
"5500024030402071707279.A12.CEL","Vehicle","MCF7_24","",""
"5500024030402071707279.B11.CEL","Vehicle","MCF7_24","",""
"5500024030402071707279.D10.CEL","Vehicle","MCF7_24","",""
"5500024030402071707279.E09.CEL","Vehicle","MCF7_24","",""
"5500024030402071707279.G08.CEL","Vehicle","MCF7_24","",""
